ID,Canonical Name,Aliases
S01809,Texas Poly,
S01810,UT San Antonio,"Texas San Antonio, TX San Antonio, UTSA, Tex San Antonio, Texas-San Ant., "
S01811,Texas Southern,"Tex Southern, TX Southern, UT Southern, "
S01812,Texas Tech,
S01813,Texas Wesleyan,"TX Wesleyan, "
S01814,Texas-Arlington,"TX-Arlington, UT-Arlington, UTA, "
S01815,Texas-El Paso,"Texas El Paso, Tex-El Paso, UTEP, "
S01816,TX-Permian Basin,"Texas-PermianBasn, Texas-Permian Basin, UT Permian Basin, Permian Basin, Tex. Permian Basin, "
S01817,Texas,"Texas-Austin, "
S01818,Thiel,
S01819,Third Air Force,
S01820,Thomas (Maine),"Thomas ME, "
S01821,Thomas More,"Thomas More (Ky.), "
S01822,Tiffin,
S01823,Tioga,
S01824,Tn.-Chattanooga,"UT Chattanooga, Tennessee Chat, Tn Chattanooga, Tenn-Chatt, Tennessee-Chattanooga, Tenn.-Chattanooga, Chattanooga, UT-Chattanooga, "
S01825,Toccoa Falls,
S01826,Toledo A.C.,
S01827,Toledo,
S01828,Tonkawa Prep.,"Tonkawa Preparatory, "
S01829,Toronto All-Stars,
S01830,Torpedo Raiders,
S01831,Tougaloo,"Touglaoo, "
S01832,Towson St.,"Towson St, Towson State, Towson, "
S01833,Transylvania,
S01834,Trevecca Naz.,"Trevecca Nazarene, Trevecca Nazarene College, "
S01835,Trine,"Tri-State, Tri-State (IN), Tri-State University, Tri-State Univ, Tri-State (Ind.), "
S01836,Trinity (IL),"Trinity, Ill., Trinity Int'l IL, Trinity IL, Trinity Int'l, Ill., Trinity International, Trinity International University, Trinity International Universi, Trinity Int'l, "
S01837,Trinity (TX),"Trinity, Tex., Trinity (Texas), Trinity, TX, Trinity TX, "
S01838,Trinity Bible,"TrinityBible(ND), "
S01839,Trinity Christian,
S01840,Trinity Coll (CT),"Trinity, Conn., Trinity (Conn.), Trinity (Connecticut), Trinity(CT), Trinity College (CT), "
S01841,Trinity (FL),"Trinity (Fla.), Trinity, "
S01842,Trinity Bapt.,"Trinity Baptist, Trinity Bap, "
